,Cie,Valeur Abs,MSE
0,ABT,0.07551764475236131,0.5733155036414846
1,ACN,0.049070247561731284,0.5477179001800753
2,ATVI,0.05946489265733593,0.3725364263220253
3,ADBE,0.015301654901978934,0.20887670757516485
4,AMD,0.09151328200082871,0.21092905784673874
5,GOOGL,0.020659904795234458,0.6018784605628724
6,GOOG,0.028584530642571257,0.7922083789531039
7,AMZN,0.03410874088744375,1.0288450353654939
8,AAL,0.06533040425929333,0.49009245468198
9,BLK,0.09153218612879573,1.7361678376107754
10,CBS,0.05974393245024149,0.4865233417871678
11,MSFT,0.021694317042937523,0.18819791132642893
12,FB,0.0316290338971107,0.3338560517942653
